,Capacity
0,0.055620243768194036
1,0.05569747261227687
2,0.05583901629185397
3,0.056148059974053
4,0.05647053159913906
5,0.044092291840801906
6,0.05677191308141789
7,0.056938376500757296
8,0.04440148411312257
9,0.04463435818491618
10,0.04479872243657484
11,0.04670898780785478
12,0.04495371533089529
13,0.045219329019542696
14,0.04540222414694979
15,0.04567901224974174
16,0.04552080257033988
17,0.045728541460242564
18,0.045860512192502
19,0.045983556030275076
20,0.04612876296673401
21,0.0463714545530443
22,0.04642385425314327
23,0.046579469530564604
24,0.04672600894839656
25,0.046863472432443716
26,0.047123070484888584
27,0.047089685801538064
28,0.04716816990682447
29,0.047416623395846624
30,0.04747365818614322
31,0.04767107168829607
32,0.04775614866793622
33,0.04783369052905227
34,0.047922817158937946
35,0.048108024971614455
36,0.04808782735825877
37,0.04842261926326617
38,0.04798649525462829
39,0.04822175200495124
40,0.04787731566765343
41,0.04829032055579415
42,1.2156494086360898
43,1.1476416320946565
44,1.1194574527298193
45,1.0841325641850128
46,1.0607784232892656
47,1.0170312865626592
48,1.0000374999808574
49,0.991506494786248
50,0.9655644425371017
51,0.9383311962439673
52,0.9298903389240268
53,0.9072117399448598
54,0.9176870676937323
55,0.9157430721963028
56,0.9111662690050432
57,0.8968901443572698
58,0.8862133472800153
59,0.8931124136187014
60,0.880898507091054
61,0.8798879382023741
62,0.8682347537115443
63,0.8443569490395516
64,0.8657093203148538
65,0.848696904019178
66,0.8364948433646345
