,CCCT,CVCT,V37_419,V38_419,V37_41,V38_41,Temperature
0,0.0,0.0,0.0,0.0,0.0,0.0,23.14273156239866
1,2708.7,8092.7,2591.5,2513.8,1931.5,1853.8,24.889369351115302
2,2668.8,8131.7,2561.2,2487.5,1899.1999999999998,1825.5,24.58546074781323
3,2643.1,8157.099999999999,2536.1,2463.7000000000003,1875.7,1803.3,24.41644071753624
4,2631.5,8159.599999999999,2528.1,2456.7,1874.0,1802.6,24.715535275583587
5,2592.1,8207.4,2538.9,2500.6,1846.4,1808.1000000000001,24.531924106136273
6,2256.6,8249.0,2211.4,2203.0,1631.8,1623.3999999999999,25.495334594293215
7,2590.7,8207.0,2497.9,2430.2000000000003,1862.4,1794.7,25.109046403989463
8,2552.4,8243.0,2468.1,2403.8,1831.9,1767.6000000000001,24.75612606590057
9,2522.7,8267.8,2443.3,2381.2000000000003,1804.8,1742.7,24.519925919469557
10,2447.9,8349.099999999999,2397.4,2387.4,1701.4,1691.4,23.601763259846912
11,2483.7,8315.3,2406.5,2347.7000000000003,1769.1000000000001,1710.3000000000002,24.341723285189744
12,2458.3,8337.4,2385.7,2328.7,1749.6000000000001,1692.6000000000001,24.36067740003091
13,2431.1,8361.0,2360.5,2307.1000000000004,1725.5,1672.1,24.30607874550963
14,2404.7,8389.599999999999,2337.3,2286.9,1704.6000000000001,1654.2,24.28334797997582
15,2326.3,8474.599999999999,2271.5,2271.5,1576.9,1576.9,23.464310671217874
16,2363.7,8426.2,2302.1,2254.6,1669.2,1621.7,24.18152212281551
17,2338.1,8457.599999999999,2278.2999999999997,2232.2,1647.2,1601.1,24.20768024755387
18,2319.6,8479.2,2258.7999999999997,2213.9,1629.8,1584.8999999999999,24.182294899181468
19,2289.0,8502.8,2236.9,2193.4,1608.7,1565.2,24.18999944744643
20,2210.7,8590.7,2156.7,2156.7,1462.3,1462.3,23.425114109741035
21,2287.8,8512.599999999999,2228.1,2228.1,1547.7,1547.7,24.336885966656418
22,2326.6,8471.8,2269.8,2225.2,1656.8999999999999,1612.3,25.61596246140793
23,2297.6,8501.9,2243.0,2199.6,1632.3,1588.8999999999999,25.57362855538286
24,2263.2,8538.5,2208.6,2166.5,1599.0,1556.8999999999999,25.387459042267434
25,2240.7,8558.099999999999,2182.0,2140.1000000000004,1570.9,1529.0,25.230996305594537
26,2155.2,8646.4,2085.6,2085.6,1408.3,1408.3,24.628455409591417
27,2221.3,8581.5,2163.5,2125.4,1557.1,1519.0,25.81145521646865
28,2208.9,8590.5,2150.8,2111.8,1547.9,1508.9,25.955845888848415
29,2173.1,8629.5,2120.4,2084.3,1518.1,1482.0,25.720582221167923
30,2149.8,8648.8,2092.3,2056.3,1491.2,1455.2,25.477771186041426
31,2043.1,8756.199999999999,1973.3,1973.3,1295.9,1295.9,24.46883091867299
32,2103.8,8697.7,2042.3,2017.0,1431.9,1406.6000000000001,25.308230662044124
33,2103.9,8696.5,2047.0,2019.2,1439.8,1412.0,25.627862498685133
34,2068.2,8733.599999999999,2008.2,1981.9,1405.4,1379.1000000000001,25.261181515983694
35,2022.2,8777.6,1962.8,1939.8999999999999,1363.0,1340.1,24.90550858278098
36,1925.3,8877.1,1850.5,1850.5,1156.2,1156.2,23.904160789370966
37,1998.6,8802.8,1939.8,1918.7,1336.4,1315.3000000000002,25.011653225897057
38,2005.6,8797.199999999999,1943.3,1919.2,1345.4,1321.3000000000002,25.400732637646126
39,1982.9,8818.6,1923.5,1902.5,1331.8,1310.8,25.493403917057734
40,1953.7,8847.699999999999,1895.0,1876.6,1303.2,1284.8,25.23461711096837
41,1820.5,8979.4,1749.5,1749.5,1077.1,1077.1,24.041484881553743
42,0.0,0.0,0.0,0.0,0.0,0.0,5.493162341438832
43,0.0,0.0,0.0,0.0,0.0,0.0,5.590068378859721
44,0.0,0.0,0.0,0.0,0.0,0.0,5.669601558731559
45,0.0,0.0,0.0,0.0,0.0,0.0,5.692811483586721
46,0.0,0.0,0.0,0.0,0.0,0.0,5.334831814427886
47,0.0,0.0,0.0,0.0,0.0,0.0,5.334289091062056
48,0.0,0.0,0.0,0.0,0.0,0.0,5.405176163229906
49,0.0,0.0,0.0,0.0,0.0,0.0,5.429455945884124
50,0.0,0.0,0.0,0.0,0.0,0.0,5.418807908591919
51,0.0,0.0,0.0,0.0,0.0,0.0,5.393219383668363
52,0.0,0.0,0.0,0.0,0.0,0.0,5.415576449486085
53,0.0,0.0,0.0,0.0,0.0,0.0,5.309178103625137
54,0.0,0.0,0.0,0.0,0.0,0.0,5.369045856555965
55,0.0,0.0,0.0,0.0,0.0,0.0,5.375009247500128
56,0.0,0.0,0.0,0.0,0.0,0.0,5.417355473493177
57,0.0,0.0,0.0,0.0,0.0,0.0,5.401752696051491
58,0.0,0.0,0.0,0.0,0.0,0.0,5.403362401957379
59,0.0,0.0,0.0,0.0,0.0,0.0,5.363359046077405
60,0.0,0.0,0.0,0.0,0.0,0.0,5.372539359856143
61,0.0,0.0,0.0,0.0,0.0,0.0,5.322571677084112
62,0.0,0.0,0.0,0.0,0.0,0.0,5.401090813093875
63,0.0,0.0,0.0,0.0,0.0,0.0,5.385700080151614
64,0.0,0.0,0.0,0.0,0.0,0.0,5.4353553591134975
65,0.0,0.0,0.0,0.0,0.0,0.0,5.469630182341387
66,0.0,0.0,0.0,0.0,0.0,0.0,5.453177239699646
67,0.0,0.0,0.0,0.0,0.0,0.0,5.44169443916752
68,0.0,0.0,0.0,0.0,0.0,0.0,5.386992568685968
69,0.0,0.0,0.0,0.0,0.0,0.0,5.496654482592375
70,0.0,0.0,0.0,0.0,0.0,0.0,5.526656937187599
71,0.0,0.0,0.0,0.0,0.0,0.0,5.466521116038281
72,0.0,0.0,0.0,0.0,0.0,0.0,5.405047070917176
73,0.0,0.0,0.0,0.0,0.0,0.0,5.36313026033987
74,0.0,0.0,0.0,0.0,0.0,0.0,5.435655141964368
75,0.0,0.0,0.0,0.0,0.0,0.0,5.483092127524799
76,0.0,0.0,0.0,0.0,0.0,0.0,5.459965510880567
77,0.0,0.0,0.0,0.0,0.0,0.0,5.46329633207285
78,0.0,0.0,0.0,0.0,0.0,0.0,5.454963228185108
79,0.0,0.0,0.0,0.0,0.0,0.0,5.44649323932613
80,0.0,0.0,0.0,0.0,0.0,0.0,5.44589780141289
81,0.0,0.0,0.0,0.0,0.0,0.0,5.436319416794836
82,0.0,0.0,0.0,0.0,0.0,0.0,5.303671777013737
83,0.0,0.0,0.0,0.0,0.0,0.0,5.683959663091402
84,0.0,0.0,0.0,0.0,0.0,0.0,5.761658378819928
85,0.0,0.0,0.0,0.0,0.0,0.0,5.7827630160196986
86,0.0,0.0,0.0,0.0,0.0,0.0,5.730161805416016
87,0.0,0.0,0.0,0.0,0.0,0.0,5.34665741006942
88,935.0,9867.699999999999,901.3,901.3,256.7,256.7,6.1628708808558414
89,901.8,9898.9,868.7,852.8000000000001,382.5,366.6,6.222517583569959
90,917.5,8681.5,2123.3,2106.0,364.8,347.5,6.195388404685395
91,943.2,7609.0,3192.8,3179.5,289.6,276.3,6.239599023616455
92,813.2,9977.4,789.4,780.3,320.2,311.09999999999997,6.306215377786661
93,714.3,7810.9,2991.9,2991.9,180.6,180.6,6.185956843768388
94,842.0,9148.8,1653.0,1646.9,276.3,270.2,6.229703526301077
95,784.5,9346.6,1455.2,1454.0,246.1,244.9,6.229028515374869
96,702.0,8070.4,2731.4,2731.4,201.3,201.3,6.149618502992722
97,549.2,8628.8,2174.0,2174.0,204.3,204.3,6.189221794157435
98,474.3,8570.5,2236.3,2236.3,130.0,130.0,6.0903838587137455
99,509.8,8554.2,2248.6,2248.6,192.8,192.8,6.149702463834278
100,475.9,10315.4,456.1,456.1,187.0,187.0,6.139138266560409
101,489.8,8305.099999999999,2500.7,2500.7,175.4,175.4,6.099006755965713
102,540.8,9491.5,1312.3,1312.3,158.0,158.0,6.062456798660048
103,260.2,8352.2,2455.6,2455.6,102.7,102.7,6.112608632620739
104,482.8,8605.5,2177.4,2177.4,145.7,145.7,6.103288890011372
105,461.9,10341.699999999999,398.4,398.4,141.8,141.8,6.132864117686446
